"TLID","lat","lon","N","P","K","TY","Treatment","var","SoilType"
"2",9.376682947,10.04235388,46,0,0,2020,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"2",9.376682947,10.04235388,68,10,19,2249,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"2",9.376682947,10.04235388,62,14,27,6397,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"2",9.376682947,10.04235388,67,20,0,5062,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"3",9.37859701,10.0427224,46,0,0,1699,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"3",9.37859701,10.0427224,68,10,19,4748,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"3",9.37859701,10.0427224,62,14,27,4284,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"3",9.37859701,10.0427224,67,20,0,5537,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"1",9.364452738,10.01949526,46,0,0,687,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"1",9.364452738,10.01949526,68,10,19,4235,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"1",9.364452738,10.01949526,62,14,27,5157,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"1",9.364452738,10.01949526,67,20,0,4602,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"5",9.387953861,10.04568548,46,0,0,1913,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"5",9.387953861,10.04568548,68,10,19,5142,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"5",9.387953861,10.04568548,62,14,27,6051,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"5",9.387953861,10.04568548,67,20,0,5396,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"348",9.376775759,9.98418909,46,0,0,2496,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"348",9.376775759,9.98418909,68,10,19,4773,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"348",9.376775759,9.98418909,62,14,27,5375,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"348",9.376775759,9.98418909,67,20,0,5494,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"8",9.367237288,10.05246005,46,0,0,1913,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"8",9.367237288,10.05246005,68,10,19,4083,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"8",9.367237288,10.05246005,62,14,27,9073,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"8",9.367237288,10.05246005,67,20,0,9109,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"4",9.374391838,10.04357638,46,0,0,2445,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"4",9.374391838,10.04357638,68,10,19,5693,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"4",9.374391838,10.04357638,62,14,27,4965,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"4",9.374391838,10.04357638,67,20,0,5078,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"6",9.34144251,10.04687102,46,0,0,2234,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
